,Impacts,Causes,Hazard,Mitigation
2025-04-07,1,0,8,2
2025-04-08,1,0,0,0
2025-04-09,1,0,3,2
2025-04-10,0,1,0,0
2025-04-11,1,0,1,0
2025-04-13,1,0,2,0
2025-04-14,1,0,2,1
2025-04-16,0,0,1,0
2025-04-17,0,0,1,0
2025-04-18,0,0,1,0
2025-04-19,0,0,2,0
2025-04-20,0,0,4,0
2025-04-21,0,0,1,0
2025-04-22,0,0,2,0
2025-04-23,18,0,27,0
2025-04-24,2,0,23,0
2025-04-25,2,0,3,1
2025-04-26,1,0,2,0
2025-04-27,0,0,1,0
2025-04-29,1,0,0,0
2025-04-30,0,0,1,0
2025-05-02,1,0,12,0
2025-05-03,1,0,0,0
2025-05-05,0,0,1,0
2025-05-06,0,0,2,0
2025-05-09,0,0,2,0
2025-05-10,0,0,0,1
2025-05-11,0,0,1,0
2025-05-12,0,0,1,0
2025-05-13,1,1,7,0
2025-05-14,0,0,6,0
2025-05-15,0,2,3,0
2025-05-16,0,0,1,0
2025-05-17,0,0,1,0
2025-05-19,1,0,4,0
2025-05-21,0,1,1,0
2025-05-22,2,0,9,0
2025-05-23,0,0,4,0
2025-05-24,0,0,1,0
2025-05-25,0,0,1,0
2025-05-27,0,0,1,0
2025-05-28,0,0,1,0
2025-05-30,0,0,1,0
2025-05-31,0,0,1,0
2025-06-03,7,0,19,0
2025-06-04,0,0,1,0
2025-06-06,0,0,2,0
2025-06-07,0,0,1,0
2025-06-08,1,0,4,0
2025-06-09,0,0,2,0
2025-06-11,1,0,0,0
2025-06-13,0,0,1,0
2025-06-15,0,0,1,0
2025-06-16,1,0,4,0
2025-06-17,0,0,1,0
2025-06-20,1,0,5,0
2025-06-21,0,0,1,0
2025-06-23,0,0,1,0
2025-06-24,0,0,1,0
2025-06-25,0,0,1,0
2025-06-29,0,0,1,0
2025-06-30,1,0,2,0
2025-07-01,0,0,2,0
2025-07-02,0,0,3,0
2025-07-03,0,0,2,0
2025-07-05,0,0,2,0
2025-07-06,0,0,1,0
2025-07-07,1,0,0,0
2025-07-08,1,0,0,0
2025-07-10,1,0,2,0
2025-07-12,0,0,1,0
2025-07-13,0,0,2,0
2025-07-14,0,0,1,0
2025-07-16,1,0,5,0
2025-07-17,0,0,3,0
2025-07-18,1,0,7,0
2025-07-20,1,0,8,0
2025-07-21,0,0,2,0
2025-07-22,0,0,1,0
2025-07-23,0,0,1,0
2025-07-25,0,0,1,0
2025-07-29,2,0,3,0
2025-07-30,15,1,62,3
2025-07-31,2,0,17,1
2025-08-03,0,0,5,0
2025-08-04,1,0,1,0
2025-08-05,1,0,10,0
2025-08-06,0,0,1,0
2025-08-07,0,0,1,0
2025-08-08,0,0,1,0
2025-08-10,6,0,5,0
2025-08-11,6,0,6,0
2025-08-17,0,0,1,0
2025-08-18,0,0,2,0
2025-08-20,1,0,2,0
2025-08-21,0,0,4,0
2025-08-22,0,0,6,0
2025-08-27,0,0,1,0
2025-08-29,0,0,1,0
2025-08-31,1,0,1,0
2025-09-01,24,2,30,3
2025-09-02,8,0,16,4
2025-09-03,2,0,3,3
2025-09-04,4,0,11,1
2025-09-05,3,0,5,0
2025-09-06,0,0,3,0
2025-09-08,1,0,2,0
2025-09-09,0,1,7,0
2025-09-10,0,0,1,0
2025-09-11,0,0,2,0
2025-09-12,0,0,1,1
2025-09-13,0,0,7,0
2025-09-15,0,0,1,0
2025-09-16,0,0,1,0
2025-09-18,0,0,4,0
2025-09-22,1,0,0,0
2025-09-23,0,0,1,0
2025-09-24,0,0,2,0
2025-09-25,0,0,2,0
2025-09-28,0,0,1,0
2025-09-29,0,0,1,0
2025-09-30,2,0,6,0
2025-10-01,10,0,13,1
2025-10-02,3,0,9,0
2025-10-04,0,0,2,0
2025-10-07,0,1,0,0
2025-10-08,0,0,1,0
2025-10-09,0,0,1,0
2025-10-10,0,0,14,0
2025-10-11,2,0,2,0
2025-10-13,0,0,2,0
2025-10-15,0,0,1,0
2025-10-19,1,0,0,0
2025-10-20,0,0,1,0
2025-10-26,0,0,1,0
2025-10-27,0,0,2,0
2025-10-28,1,0,4,0
2025-10-31,0,0,1,0
2025-11-02,0,0,1,0
2025-11-03,3,0,4,1
